,date,time,tier,type,tournament,score,opponent,team,GF,GA
0,2022-06-05,20:00 UTC,A-Tier,Online,VCT 2022: North America Challengers 2 - Group Stage,2 : 0,NRG,100 Thieves,2 , 0
1,2022-05-28,18:15 EDT,A-Tier,Online,VCT 2022: North America Challengers 2 - Group Stage,2 : 0,XSET,100 Thieves,2 , 0
2,2022-05-21,16:15 EDT,A-Tier,Online,VCT 2022: North America Challengers 2 - Group Stage,0 : 2,TSM,100 Thieves,0 , 2
3,2022-05-13,16:20 EDT,A-Tier,Online,VCT 2022: North America Challengers 2 - Group Stage,2 : 0,TGRD,100 Thieves,2 , 0
4,2022-05-07,17:45 EDT,A-Tier (Qual.),Online,VCT 2022: NA Stage 2 Challengers - Open Qualifier 2,2 : 0,AKRW,100 Thieves,2 , 0
5,2022-05-07,15:10 EDT,A-Tier (Qual.),Online,VCT 2022: NA Stage 2 Challengers - Open Qualifier 2,2 : 1,NYFU,100 Thieves,2 , 1
6,2022-05-06,20:00 EDT,A-Tier (Qual.),Online,VCT 2022: NA Stage 2 Challengers - Open Qualifier 2,2 : 0,SQ,100 Thieves,2 , 0
7,2022-05-01,19:30 EDT,A-Tier (Qual.),Online,VCT 2022: NA Stage 2 Challengers - Open Qualifier 1,1 : 2,TSM,100 Thieves,1 , 2
8,2022-05-01,16:10 EDT,A-Tier (Qual.),Online,VCT 2022: NA Stage 2 Challengers - Open Qualifier 1,2 : 1,PK,100 Thieves,2 , 1
9,2022-04-30,22:25 EDT,A-Tier (Qual.),Online,VCT 2022: NA Stage 2 Challengers - Open Qualifier 1,2 : 0,EG,100 Thieves,2 , 0
10,2022-04-30,19:25 EDT,A-Tier (Qual.),Online,VCT 2022: NA Stage 2 Challengers - Open Qualifier 1,2 : 1,Gen.G,100 Thieves,2 , 1
11,2022-04-29,21:25 EDT,A-Tier (Qual.),Online,VCT 2022: NA Stage 2 Challengers - Open Qualifier 1,1 : 2,TSM,100 Thieves,1 , 2
12,2022-04-21,16:10 EDT,C-Tier,Online,Knights Gauntlet Circuit Monthly 2022: April,1 : 2,PK,100 Thieves,1 , 2
13,2022-04-20,20:00 EDT,C-Tier,Online,Knights Gauntlet Circuit Monthly 2022: April,2 : 1,AKRW,100 Thieves,2 , 1
14,2022-03-15,14:00 PST,B-Tier,Online,Proving Grounds $20k - Spring 2022,0 : 2,SoaR,100 Thieves,0 , 2
15,2022-03-14,15:30 PST,B-Tier,Online,Proving Grounds $20k - Spring 2022,2 : 0,TS,100 Thieves,2 , 0
16,2022-03-12,13:10 PST,A-Tier,Online,VCT 2022: North America Challengers 1 - Group Stage,2 : 0,EG,100 Thieves,2 , 0
17,2022-03-06,13:10 PST,A-Tier,Online,VCT 2022: North America Challengers 1 - Group Stage,1 : 2,XSET,100 Thieves,1 , 2
18,2022-02-27,13:10 PST,A-Tier,Online,VCT 2022: North America Challengers 1 - Group Stage,1 : 2,LG,100 Thieves,1 , 2
19,2022-02-24,22:30 EST,C-Tier,Online,Knights Arena Monthly Gauntlet 2022: February,1 : 2,TSM,100 Thieves,1 , 2
20,2022-02-24,19:50 EST,C-Tier,Online,Knights Arena Monthly Gauntlet 2022: February,2 : 1,ABX,100 Thieves,2 , 1
21,2022-02-24,16:00 EST,C-Tier,Online,Knights Arena Monthly Gauntlet 2022: February,2 : 0,TSM.A,100 Thieves,2 , 0
22,2022-02-23,21:15 EST,C-Tier,Online,Knights Arena Monthly Gauntlet 2022: February,2 : 0,ex-L,100 Thieves,2 , 0
23,2022-02-20,15:25 PST,A-Tier,Online,VCT 2022: North America Challengers 1 - Group Stage,1 : 2,TGRD,100 Thieves,1 , 2
24,2022-02-11,13:15 PST,A-Tier,Online,VCT 2022: North America Challengers 1 - Group Stage,0 : 2,C9,100 Thieves,0 , 2
25,2021-10-30,15:50 PDT,A-Tier,Online/offline,VCT 2021: North America Last Chance Qualifier,1 : 2,C9 B,100 Thieves,1 , 2
26,2021-10-29,18:00 PDT,A-Tier,Online/offline,VCT 2021: North America Last Chance Qualifier,1 : 2,RISE,100 Thieves,1 , 2
27,2021-10-12,19:30 PDT,A-Tier,Online/offline,VCT 2021: North America Last Chance Qualifier,2 : 1,XSET,100 Thieves,2 , 1
28,2021-10-12,12:30 PDT,A-Tier,Online/offline,VCT 2021: North America Last Chance Qualifier,2 : 1,Gen.G,100 Thieves,2 , 1
29,2021-09-18,21:00 CEST,S-Tier,Offline,VCT 2021: Stage 3 Masters - Berlin,0 : 2,NV,100 Thieves,0 , 2
